iter	Passed	Remaining
976	9065	213
977	9073	204
978	9081	194
979	9089	185
980	9098	176
981	9107	166
982	9116	157
983	9125	148
984	9134	139
985	9144	129
986	9151	120
987	9162	111
988	9169	101
989	9179	92
990	9186	83
991	9198	74
992	9211	64
993	9218	55
994	9229	46
995	9240	37
996	9249	27
997	9260	18
998	9267	9
999	9277	0
